"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"argparse.HelpFormatter.start_section","False","100.0","4","4","21","421","0","1","421","100.0","4","100.0","-1","-1","-1","-1"
"argparse.HelpFormatter._indent","False","100.0","2","2","21","862","0","1","862","100.0","2","100.0","-1","-1","-1","-1"
"argparse.HelpFormatter.add_arguments","False","100.0","2","2","21","421","0","2","346","82.2","2","100.0","75","17.8","1","50.0"
"argparse.HelpFormatter.add_argument","False","100.0","10","10","21","812","0","3","779","95.9","9","90.0","28","3.4","1","10.0"
"argparse.HelpFormatter._format_action_invocation","False","100.0","12","12","21","1608","0","3","666","41.4","5","41.7","476","29.6","8","66.7"
"argparse.HelpFormatter._iter_indented_subactions","True","100.0","7","7","21","1587","1563","2","1563","98.5","4","57.1","24","1.5","5","71.4"
"argparse.HelpFormatter.end_section","False","100.0","2","2","21","421","0","1","421","100.0","2","100.0","-1","-1","-1","-1"
"argparse.HelpFormatter._dedent","False","100.0","3","3","21","862","0","1","862","100.0","3","100.0","-1","-1","-1","-1"
"argparse._SubParsersAction._get_subactions","False","100.0","1","1","9","24","0","1","24","100.0","1","100.0","-1","-1","-1","-1"
"argparse.HelpFormatter._format_text","False","100.0","5","5","14","83","0","2","81","97.6","4","80.0","2","2.4","5","100.0"
"argparse.HelpFormatter._fill_text","False","100.0","5","5","14","71","0","1","71","100.0","5","100.0","-1","-1","-1","-1"
"argparse.HelpFormatter._format_action","False","100.0","28","28","21","803","0","9","540","67.2","19","67.9","209","26.0","13","46.4"
"argparse.HelpFormatter._expand_help","False","100.0","11","11","21","589","0","5","346","58.7","7","63.6","216","36.7","8","72.7"
"argparse.HelpFormatter._get_help_string","False","100.0","1","1","21","565","0","1","565","100.0","1","100.0","-1","-1","-1","-1"
"argparse.HelpFormatter._split_lines","False","100.0","3","3","21","576","0","1","576","100.0","3","100.0","-1","-1","-1","-1"
"argparse._SubParsersAction.__call__","False","70.6","12","17","0","26","6","5","13","50.0","9","52.9","6","23.1","6","35.3"
"argparse.ArgumentError.__init__","False","100.0","2","2","3","667","0","1","667","100.0","2","100.0","-1","-1","-1","-1"
"argparse._get_action_name","False","90.9","10","11","11","1543","0","5","854","55.3","5","45.5","684","44.3","3","27.3"
"argparse.ArgumentError.__str__","False","100.0","5","5","10","662","0","2","661","99.8","4","80.0","1","0.2","4","80.0"
"argparse._StoreFalseAction.__init__","False","70.0","7","10","11","50","0","1","50","100.0","7","70.0","-1","-1","-1","-1"
"argparse._StoreConstAction.__call__","False","100.0","1","1","0","620","0","1","620","100.0","1","100.0","-1","-1","-1","-1"
"argparse.HelpFormatter._get_default_metavar_for_optional","False","100.0","1","1","17","2751","0","1","2751","100.0","1","100.0","-1","-1","-1","-1"
"argparse._HelpAction.__call__","False","100.0","2","2","0","17","17","2","15","88.2","2","100.0","2","11.8","1","50.0"
"argparse.ArgumentParser.print_help","False","100.0","3","3","2","91","2","2","54","59.3","3","100.0","37","40.7","2","66.7"
"argparse.ArgumentParser._read_args_from_files","False","100.0","16","16","1","126","18","5","60","47.6","5","31.2","42","33.3","13","81.2"
"argparse.ArgumentParser.convert_arg_line_to_args","False","100.0","1","1","1","66","0","1","66","100.0","1","100.0","-1","-1","-1","-1"
"argparse.BooleanOptionalAction.__init__","False","75.0","18","24","3","54","0","2","42","77.8","17","70.8","12","22.2","18","75.0"
"argparse.BooleanOptionalAction.__call__","False","100.0","2","2","0","54","0","1","54","100.0","2","100.0","-1","-1","-1","-1"
"argparse.BooleanOptionalAction.format_usage","False","100.0","1","1","4","78","0","1","78","100.0","1","100.0","-1","-1","-1","-1"
"argparse._ActionsContainer._get_handler","False","50.0","3","6","82","6659","0","1","6659","100.0","3","50.0","-1","-1","-1","-1"
"argparse._ActionsContainer._handle_conflict_error","False","85.7","6","7","1","4","4","1","4","100.0","6","85.7","-1","-1","-1","-1"
"argparse._ActionsContainer._handle_conflict_resolve","False","100.0","5","5","1","2","0","1","2","100.0","5","100.0","-1","-1","-1","-1"
"argparse._ArgumentGroup._remove_action","False","100.0","2","2","1","2","0","1","2","100.0","2","100.0","-1","-1","-1","-1"
"argparse._ActionsContainer._remove_action","False","100.0","1","1","1","2","0","1","2","100.0","1","100.0","-1","-1","-1","-1"
"argparse._CountAction.__init__","False","70.0","7","10","0","36","0","1","36","100.0","7","70.0","-1","-1","-1","-1"
"argparse._CountAction.__call__","False","100.0","4","4","0","114","0","2","72","63.2","4","100.0","42","36.8","3","75.0"
"argparse.FileType.__call__","False","85.7","12","14","2","281","90","4","167","59.4","4","28.6","48","17.1","4","28.6"
"argparse.FileType.__repr__","False","83.3","5","6","6","47","0","1","47","100.0","5","83.3","-1","-1","-1","-1"
"argparse._ActionsContainer.get_default","False","100.0","4","4","1","8","0","2","5","62.5","3","75.0","3","37.5","3","75.0"
"argparse._ActionsContainer.set_defaults","False","100.0","4","4","8","13","0","3","9","69.2","3","75.0","3","23.1","4","100.0"
"argparse.HelpFormatter._format_usage.<locals>.get_lines","False","100.0","17","17","11","239","0","5","67","28.0","12","70.6","54","22.6","15","88.2"
"argparse.ArgumentDefaultsHelpFormatter._get_help_string","False","100.0","7","7","3","24","0","4","12","50.0","7","100.0","6","25.0","3","42.9"
"argparse._VersionAction.__init__","False","63.6","7","11","9","66","0","1","66","100.0","7","63.6","-1","-1","-1","-1"
"argparse.MetavarTypeHelpFormatter._get_default_metavar_for_positional","False","100.0","1","1","3","12","0","1","12","100.0","1","100.0","-1","-1","-1","-1"
"argparse.MetavarTypeHelpFormatter._get_default_metavar_for_optional","False","100.0","1","1","3","24","0","1","24","100.0","1","100.0","-1","-1","-1","-1"
"argparse.RawDescriptionHelpFormatter._fill_text","False","100.0","1","1","3","12","0","1","12","100.0","1","100.0","-1","-1","-1","-1"
"argparse.RawTextHelpFormatter._split_lines","False","100.0","1","1","3","12","0","1","12","100.0","1","100.0","-1","-1","-1","-1"
"argparse.ArgumentParser.parse_intermixed_args","False","60.0","3","5","5","6","4","2","4","66.7","1","20.0","2","33.3","3","60.0"
"argparse.ArgumentParser.parse_known_intermixed_args","False","87.0","40","46","5","7","4","6","2","28.6","34","73.9","1","14.3","37","80.4"
"argparse.ArgumentParser._get_optional_actions","False","66.7","2","3","2","3","0","1","3","100.0","2","66.7","-1","-1","-1","-1"
"argparse._ActionsContainer.add_mutually_exclusive_group","False","100.0","3","3","15","221","2","2","219","99.1","3","100.0","2","0.9","1","33.3"
"argparse._MutuallyExclusiveGroup.__init__","False","100.0","3","3","14","219","0","1","219","100.0","3","100.0","-1","-1","-1","-1"
"argparse._MutuallyExclusiveGroup._add_action","False","100.0","6","6","13","561","11","3","550","98.0","4","66.7","10","1.8","3","50.0"
"argparse._AttributeHolder.__repr__","False","91.7","11","12","13","28","0","3","24","85.7","9","75.0","2","7.1","11","91.7"
"argparse._AttributeHolder._get_args","False","100.0","1","1","13","28","0","1","28","100.0","1","100.0","-1","-1","-1","-1"
"argparse.Action._get_kwargs","False","100.0","2","2","8","18","0","1","18","100.0","2","100.0","-1","-1","-1","-1"
"argparse.Namespace.__contains__","False","100.0","1","1","2","7","0","1","7","100.0","1","100.0","-1","-1","-1","-1"
"argparse._AppendAction.__call__","False","100.0","4","4","0","108","0","1","108","100.0","4","100.0","-1","-1","-1","-1"
"argparse._AppendConstAction.__init__","False","69.2","9","13","0","24","0","1","24","100.0","9","69.2","-1","-1","-1","-1"
"argparse._AppendConstAction.__call__","False","100.0","4","4","0","48","0","1","48","100.0","4","100.0","-1","-1","-1","-1"
"argparse._VersionAction.__call__","False","85.7","6","7","0","2","2","1","2","100.0","6","85.7","-1","-1","-1","-1"
"argparse._AttributeHolder._get_kwargs","False","100.0","1","1","4","8","0","1","8","100.0","1","100.0","-1","-1","-1","-1"
"argparse.ArgumentParser._get_kwargs","False","100.0","2","2","1","2","0","1","2","100.0","2","100.0","-1","-1","-1","-1"
